opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Aurora Spartans,"Tue, Nov 26",Millikin Big Blue,Away,L,45.0,49.0,-4.0
Aurora Spartans,"Sat, Nov 30",UIC Flames,Away,L,76.0,91.0,-15.0
Aurora Spartans,"Wed, Dec 4",Concordia Wisconsin Falcons,Home,W,75.0,68.0,7.0
Aurora Spartans,"Sat, Dec 7",St. Norbert Green Knights,Away,L,63.0,74.0,-11.0
Aurora Spartans,"Sat, Dec 14",Marian (WI) Sabres,Away,L,64.0,72.0,-8.0
Aurora Spartans,"Tue, Dec 17",Albion Britons,Away,W,60.0,58.0,2.0
Aurora Spartans,"Mon, Dec 30",Monmouth (IL) Fighting Scots,Home,W,74.0,71.0,3.0
Aurora Spartans,"Sat, Jan 4",Concordia Chicago Cougars,Away,L,64.0,67.0,-3.0
Aurora Spartans,"Wed, Jan 8",Dominican (IL) Stars,Home,W,98.0,64.0,34.0
Aurora Spartans,"Sat, Jan 11",Marian (WI) Sabres,Home,L,67.0,68.0,-1.0
Aurora Spartans,"Wed, Jan 15",Edgewood Eagles,Home,W,96.0,66.0,30.0
Aurora Spartans,"Sat, Jan 18",St. Norbert Green Knights,Home,W,76.0,62.0,14.0
Aurora Spartans,"Wed, Jan 22",Rockford Regents,Home,W,102.0,90.0,12.0
Aurora Spartans,"Sat, Jan 25",Wisconsin Lutheran Warriors,Away,L,78.0,91.0,-13.0
Aurora Spartans,"Wed, Jan 29",Benedictine (IL) Eagles,Away,L,73.0,75.0,-2.0
Aurora Spartans,"Wed, Feb 5",Illinois Tech Scarlet Hawks,Away,W,96.0,54.0,42.0
Aurora Spartans,"Sat, Feb 8",MSOE Raiders,Home,L,86.0,94.0,-8.0
Aurora Spartans,"Thu, Feb 13",Concordia Chicago Cougars,Home,L,69.0,74.0,-5.0
Aurora Spartans,"Sat, Feb 15",Concordia Wisconsin Falcons,Away,W,67.0,66.0,1.0
Aurora Spartans,"Wed, Feb 19",Lakeland Muskies,Home,W,109.0,60.0,49.0
Aurora Spartans,"Sat, Feb 22",Dominican (IL) Stars,Away,L,97.0,101.0,-4.0
Aurora Spartans,"Wed, Feb 26",St. Norbert Green Knights,Away,L,72.0,83.0,-11.0
Coe Kohawks,"Fri, Nov 8",Cornell College Rams,Away,W,90.0,78.0,12.0
Coe Kohawks,"Tue, Nov 12",Augustana (IL) Vikings,Away,L,70.0,82.0,-12.0
Coe Kohawks,"Wed, Nov 20",Cornell College Rams,Home,L,71.0,74.0,-3.0
Coe Kohawks,"Sat, Nov 23",UW-Whitewater Warhawks,Away,W,74.0,60.0,14.0
Coe Kohawks,"Tue, Nov 26",Loras Duhawks,Away,L,74.0,90.0,-16.0
Coe Kohawks,"Sat, Nov 30",Edgewood Eagles,Away,W,64.0,63.0,1.0
Coe Kohawks,"Wed, Dec 4",Simpson Storm,Home,W,79.0,51.0,28.0
Coe Kohawks,"Sat, Dec 7",Buena Vista Beavers,Away,L,60.0,63.0,-3.0
Coe Kohawks,"Mon, Dec 16",North Central (MN) Rams,Away,W,80.0,69.0,11.0
Coe Kohawks,"Fri, Dec 20",Knox Prairie Fire,Home,W,83.0,70.0,13.0
Coe Kohawks,"Sat, Dec 21",MSOE Raiders,Home,W,69.0,65.0,4.0
Coe Kohawks,"Mon, Dec 30",Gustavus Adolphus Golden Gusties,Home,L,75.0,78.0,-3.0
Coe Kohawks,"Sat, Jan 4",Central (IA) Dutch,Home,W,88.0,74.0,14.0
Coe Kohawks,"Wed, Jan 8",Luther Norse,Home,W,65.0,53.0,12.0
Coe Kohawks,"Wed, Jan 15",Dubuque Spartans,Away,L,69.0,77.0,-8.0
Coe Kohawks,"Sat, Jan 18",Nebraska Wesleyan Prairie Wolves,Away,L,59.0,71.0,-12.0
Coe Kohawks,"Wed, Jan 22",Wartburg Knights,Home,W,79.0,69.0,10.0
Coe Kohawks,"Sat, Jan 25",Buena Vista Beavers,Home,W,64.0,60.0,4.0
Coe Kohawks,"Wed, Jan 29",Loras Duhawks,Home,W,100.0,95.0,5.0
Coe Kohawks,"Sat, Feb 1",Central (IA) Dutch,Away,L,73.0,75.0,-2.0
Coe Kohawks,"Wed, Feb 5",Simpson Storm,Away,L,78.0,83.0,-5.0
Coe Kohawks,"Thu, Feb 13",Luther Norse,Away,W,60.0,53.0,7.0
Coe Kohawks,"Sat, Feb 15",Nebraska Wesleyan Prairie Wolves,Home,W,77.0,75.0,2.0
Coe Kohawks,"Wed, Feb 19",Dubuque Spartans,Home,L,75.0,78.0,-3.0
Coe Kohawks,"Sat, Feb 22",Wartburg Knights,Away,L,61.0,80.0,-19.0
Coe Kohawks,"Tue, Feb 25",Central (IA) Dutch,Away,L,83.0,99.0,-16.0
Carthage Firebirds,"Tue, Nov 12",Illinois Tech Scarlet Hawks,Away,W,82.0,56.0,26.0
Carthage Firebirds,"Sat, Nov 16",Alma Scots,Home,W,89.0,56.0,33.0
Carthage Firebirds,"Wed, Nov 20",UW-Platteville Pioneers,Away,L,72.0,85.0,-13.0
Carthage Firebirds,"Sat, Nov 23",Anderson (IN) Ravens,Away,L,74.0,88.0,-14.0
Carthage Firebirds,"Tue, Nov 26",Ripon Red Hawks,Home,W,76.0,66.0,10.0
Carthage Firebirds,"Sat, Nov 30",UW-Whitewater Warhawks,Away,W,69.0,63.0,6.0
Carthage Firebirds,"Wed, Dec 4",Illinois Wesleyan Titans,Away,W,77.0,68.0,9.0
Carthage Firebirds,"Sat, Dec 7",Knox Prairie Fire,Home,W,95.0,69.0,26.0
Carthage Firebirds,"Sat, Dec 14",Augustana (IL) Vikings,Away,W,82.0,70.0,12.0
Carthage Firebirds,"Thu, Dec 19",Chatham Cougars,Neutral Court,L,60.0,62.0,-2.0
Carthage Firebirds,"Fri, Dec 20",Spalding Golden Eagles,Neutral Court,W,86.0,64.0,22.0
Carthage Firebirds,"Sat, Jan 4",North Park Vikings,Home,L,68.0,69.0,-1.0
Carthage Firebirds,"Wed, Jan 8",Elmhurst Bluejays,Away,W,75.0,71.0,4.0
Carthage Firebirds,"Sat, Jan 11",Millikin Big Blue,Home,W,64.0,55.0,9.0
Carthage Firebirds,"Wed, Jan 15",North Central (IL) Cardinals,Home,W,93.0,78.0,15.0
Carthage Firebirds,"Sat, Jan 18",Wheaton (IL) Thunder,Away,W,85.0,78.0,7.0
Carthage Firebirds,"Wed, Jan 22",Carroll (WI) Pioneers,Home,W,88.0,68.0,20.0
Carthage Firebirds,"Sat, Jan 25",Augustana (IL) Vikings,Home,W,77.0,69.0,8.0
Carthage Firebirds,"Sat, Feb 1",North Park Vikings,Away,L,82.0,93.0,-11.0
Carthage Firebirds,"Wed, Feb 5",Carroll (WI) Pioneers,Away,W,84.0,75.0,9.0
Carthage Firebirds,"Sat, Feb 8",Illinois Wesleyan Titans,Home,W,85.0,74.0,11.0
Carthage Firebirds,"Wed, Feb 12",North Central (IL) Cardinals,Away,W,73.0,71.0,2.0
Carthage Firebirds,"Sat, Feb 15",Wheaton (IL) Thunder,Home,W,89.0,80.0,9.0
Carthage Firebirds,"Wed, Feb 19",Elmhurst Bluejays,Home,W,83.0,71.0,12.0
Carthage Firebirds,"Sat, Feb 22",Millikin Big Blue,Away,W,84.0,77.0,7.0
Hope Flying Dutchmen,"Fri, Nov 8",Anderson (IN) Ravens,Home,L,78.0,80.0,-2.0
Hope Flying Dutchmen,"Fri, Nov 15",Wilmington (OH) Fightin' Quakers,Away,W,74.0,64.0,10.0
Hope Flying Dutchmen,"Sat, Nov 16",Wittenberg Tigers,Away,W,68.0,63.0,5.0
Hope Flying Dutchmen,"Fri, Nov 22",Saint John's (MN) Johnnies,Neutral Court,L,48.0,64.0,-16.0
Hope Flying Dutchmen,"Sat, Nov 23",Marietta Pioneers,Neutral Court,L,71.0,96.0,-25.0
Hope Flying Dutchmen,"Tue, Nov 26",Wheaton (IL) Thunder,Away,W,73.0,46.0,27.0
Hope Flying Dutchmen,"Fri, Dec 6",UW-Whitewater Warhawks,Away,L,83.0,90.0,-7.0
Hope Flying Dutchmen,"Sat, Dec 7",UW-Platteville Pioneers,Away,L,64.0,71.0,-7.0
Hope Flying Dutchmen,"Sat, Dec 14",Ohio Wesleyan Battling Bishops,Home,W,79.0,69.0,10.0
Hope Flying Dutchmen,"Fri, Dec 20",Rose-Hulman Fightin' Engineers,Home,W,69.0,64.0,5.0
Hope Flying Dutchmen,"Sat, Dec 21",DePauw Tigers,Home,L,71.0,75.0,-4.0
Hope Flying Dutchmen,"Wed, Jan 8",Olivet Comets,Home,W,77.0,45.0,32.0
Hope Flying Dutchmen,"Sat, Jan 11",Alma Scots,Home,W,95.0,46.0,49.0
Hope Flying Dutchmen,"Wed, Jan 15",Kalamazoo Hornets,Away,W,81.0,71.0,10.0
Hope Flying Dutchmen,"Sat, Jan 18",Adrian Bulldogs,Home,W,61.0,53.0,8.0
Hope Flying Dutchmen,"Wed, Jan 22",Calvin Knights,Home,L,60.0,65.0,-5.0
Hope Flying Dutchmen,"Sat, Jan 25",Trine Thunder,Away,L,54.0,77.0,-23.0
Hope Flying Dutchmen,"Wed, Jan 29",Albion Britons,Away,L,74.0,76.0,-2.0
Hope Flying Dutchmen,"Sat, Feb 1",Calvin Knights,Away,L,60.0,68.0,-8.0
Hope Flying Dutchmen,"Wed, Feb 5",Trine Thunder,Home,W,79.0,71.0,8.0
Hope Flying Dutchmen,"Sat, Feb 8",Kalamazoo Hornets,Home,W,78.0,67.0,11.0
Hope Flying Dutchmen,"Wed, Feb 12",Adrian Bulldogs,Away,W,80.0,57.0,23.0
Hope Flying Dutchmen,"Sat, Feb 15",Alma Scots,Away,W,77.0,54.0,23.0
Hope Flying Dutchmen,"Wed, Feb 19",Olivet Comets,Away,L,52.0,66.0,-14.0
Hope Flying Dutchmen,"Sat, Feb 22",Albion Britons,Home,W,81.0,56.0,25.0
Hope Flying Dutchmen,"Wed, Feb 26",Adrian Bulldogs,Home,W,81.0,55.0,26.0
Averett Cougars,"Sat, Nov 2",High Point Panthers EXH,Away,L,57.0,85.0,-28.0
Averett Cougars,"Sat, Nov 9",Maryville (TN) Scots,Away,W,85.0,79.0,6.0
Averett Cougars,"Tue, Nov 12",Southern Virginia Knights,Home,W,79.0,70.0,9.0
Averett Cougars,"Wed, Nov 20",William Peace Pacers,Away,W,60.0,48.0,12.0
Averett Cougars,"Sat, Nov 23",Greensboro Pride,Away,W,74.0,59.0,15.0
