date,opponent,team,location,opponent_url,game_url,video_url,outcome,team_score,opponent_score,point_margin,season,Upcoming
"Sat, Feb 8",UW-Stout Blue Devils,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/pppg37pRSuWUYj2LabWFxA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/lcSjQRV6TkWRbA8ft7RnHA/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9574%2ffullgamevideo%2fclips,W,87.0,69.0,18.0,2024-25,No
"Wed, Feb 12",UW-La Crosse Eagles,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/UrY3DOoLQbe_PnM_sm4HJA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/8uAp_gdgR36dTcB2SOdwNg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9575%2ffullgamevideo%2fclips,L,56.0,70.0,-14.0,2024-25,No
"Sat, Feb 15",UW-River Falls Falcons,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/JhCOrVBFRO2E7-hIjHeICg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/M2grslECS_Kpa9PvRtlTBw/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9576%2ffullgamevideo%2fclips,L,66.0,72.0,-6.0,2024-25,No
"Wed, Feb 19",UW-Platteville Pioneers,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/D99vwO1cQ_2BrNCr1V1A_Q?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/l8Q63bmySIWHQ5l0Yn-KXg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9577%2ffullgamevideo%2fclips,L,62.0,78.0,-16.0,2024-25,No
"Sat, Feb 22",UW-Eau Claire Blugolds,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/u9KC56v1Tsyl1DIt-x3UXQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/K-TmSHiaQcWp4C4tuw7l8Q/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9578%2ffullgamevideo%2fclips,W,80.0,65.0,15.0,2024-25,No
"Mon, Feb 24",UW-Stevens Point Pointers,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/OqTWpgCzTV-VyfWtEnIp-g?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/N0_rjR9TQGK1BgRwY3ybMg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67bbd630af5391c0181d9c58%2ffullgamevideo%2fclips,L,79.0,81.0,-2.0,2024-25,No
"Fri, Nov 8",Lakeland Muskies,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/2Vdqayo0TyGkQtaFIH0f4Q?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/c3ijv6MrRDe44VVAdf4-gQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2515762e6831296a62%2ffullgamevideo%2fclips,W,90.0,69.0,21.0,2024-25,No
"Tue, Nov 12",UW-Whitewater Warhawks,Carroll (WI) Pioneers,Home,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/WGSdS1cSRkOfRxtFZxsrCQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2615762e6831296a63%2ffullgamevideo%2fclips,L,71.0,77.0,-6.0,2024-25,No
"Fri, Nov 15",Greenville Panthers,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/lJ1aCGmFQfeOFfbhJP_LLg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/gMGdAVL4TfeGzZuZe3Yw4A/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2615762e6831296a64%2ffullgamevideo%2fclips,W,130.0,107.0,23.0,2024-25,No
"Wed, Nov 20",UW-Oshkosh Titans,Carroll (WI) Pioneers,Away,https://fastscout.fastmodelsports.com/teams/zQArFlh9RwaiMvPUzcbvvg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw/games/7qrF-V3vTOyXA_taskiNlg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2615762e6831296a65%2ffullgamevideo%2fclips,L,64.0,83.0,-19.0,2024-25,No
