opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
UW-Oshkosh Titans,2025-01-15,#44,Tristan Johanknecht,F,"6'8""",230 lbs,SO,Bench,Can go to either hand/shoulder in post,Be a helper when he's not in paint,True
UW-Oshkosh Titans,2025-01-15,#30,Matt Imig,G,"6'1""",180 lbs,JR,Bench,Shooter/Driver,No C & S 3's,True
UW-Eau Claire Blugolds,2025-01-18,#1,Andre Renta,G,"6'1""",175 lbs,JR,Starter,Driver/Shooter (LH PG),Anticipate LHD (Hesitates before he attacks),True
UW-Eau Claire Blugolds,2025-01-18,#21,Michael Casper,G,"6'2""",,SR,Starter,Shooter,No C & S 3's,True
UW-Eau Claire Blugolds,2025-01-18,#2,Carter Lichtsinn,F,"6'3""",,JR,Starter,Shooter/Driver,No C & S 3's,True
UW-Eau Claire Blugolds,2025-01-18,#15,Cade Hall,G,"6'5""",,SR,Starter,REBOUNDS! (Leads WIAC in Reb & Off Reb),BOX OUT!!!,True
UW-Eau Claire Blugolds,2025-01-18,#3,Carter Huschka,F,"6'6""",,SR,Starter,"Drives, Posts, & Shoots 3's",Early back-side help on ball screen roll,True
UW-Eau Claire Blugolds,2025-01-18,#5,Drew Maloney,G,"6'4""",,SR,Bench,Shooter/Driver,Anticipate RHD,True
UW-Eau Claire Blugolds,2025-01-18,#10,Grant Paetzold,G,"5'11""",,SO,Bench,Driver-Quick 1st step,Be a Helper!,True
UW-Eau Claire Blugolds,2025-01-18,#11,Gunnar Tebon,G,"6'1""",,SR,Bench,Shooter,HIGH HAND EARLY on closeouts!!,True
UW-Platteville Pioneers,2025-01-22,#5,Ben Probst,G,"6'1""",190 lbs,SR,Starter,Shooter,Strong closeouts + keep HIGH hand when on ball,True
UW-Platteville Pioneers,2025-01-22,#20,Brady Olson,G,"6'0""",195 lbs,SR,Starter,Shooter/Driver,No C & S 3's,True
UW-Platteville Pioneers,2025-01-22,#14,Logan Pearson,F,"6'3""",190 lbs,SR,Starter,3 level scorers,No straight line drives & STAY DOWN,True
UW-Platteville Pioneers,2025-01-22,#21,Max Love,F,"6'4""",192 lbs,JR,Starter,Shooter/Driver,Strong closeouts + keep HIGH hand when on ball,True
UW-Platteville Pioneers,2025-01-22,#42,Joey Fuhremann,F,"6'8""",226 lbs,JR,Starter,5 man. Scores in post & O-boards,NLS/RH,True
UW-Platteville Pioneers,2025-01-22,#0,Bristol Lewis,G,"6'2""",188 lbs,SO,Bench,Driver/Shooter,No C & S 3's,True
UW-Platteville Pioneers,2025-01-22,#2,Aiden Wieczorek,G,"6'3""",198 lbs,JR,Bench,Shooter/Driver,Give help off ball,True
UW-Platteville Pioneers,2025-01-22,#33,Miles Hettinger,F,"6'7""",232 lbs,JR,Bench,Physical post,Extend catches--No Deep Post Touches,True
UW-La Crosse Eagles,2025-01-25,#15,Sam Grieger,G,"6'4""",175 lbs,SO,Starter,LH Driver/Shooter (PG),NRS,True
UW-La Crosse Eagles,2025-01-25,#24,Karter Thomas,G,"6'1""",180 lbs,SR,Starter,3 Level Scorer,No straight-line drives (especially in ball screens),True
