#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
29,Blob : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 12:39,,,,,Make 3 Pts,0:11.9,,,22:06.13,22:18.07,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,12:39,Collin Madson,,,,15 Collin Madson > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
30,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 12:19,,,,,Turnover,0:14.7,,,22:18.93,22:33.60,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,12:19,Reyce Allen,,,,5 Reyce Allen > No Play Type > Turnover
31,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 12:15,,,,,Make 2 Pts,0:08.8,,,22:27.60,22:36.40,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,12:15,Jake Quast,,,,12 Jake Quast > Transition > Ballhandler > To Basket > Make 2 Pts
32,UWW M2M : Press() - Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 11:57,,,,,Make 2 Pts,0:16.7,,,22:41.60,22:58.25,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,11:57,Garret Rodgers,,,,33 Garret Rodgers > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Make 2 Pts
33,5 Out-flairs- M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 11:41,,,,,0 Pts,0:19.2,,,22:56.33,23:15.53,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,11:41,Richie Warren,,,,24 Richie Warren > Cut > Flash > Make 2 Pts Foul > 0 Pts
34,Blob-Line-Curl- M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 11:25,,,,,Turnover,0:16.5,,,25:36.45,25:52.98,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,11:25,Darius Chestnut,,,,10 Darius Chestnut > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
35,UWW M2M- Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 11:12,,,,,Turnover,0:17.7,,,26:05.85,26:23.53,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,11:12,Reyce Allen,,,,5 Reyce Allen > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Turnover
36,5 Out- M2M- Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 11:00,,,,,Turnover,0:16.5,,,26:34.33,26:50.85,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,11:00,Richie Warren,,,,24 Richie Warren > ISO > Left > Drives Left > Turnover
37,UWW M2M : Press() - Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 10:40,,,,,Miss 2 Pts,0:22.7,,,26:58.13,27:20.85,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,10:40,Jaden Ross,,,,23 Jaden Ross > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
38,5 Out - (M2M) : Press() - Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 10:25,,,,,Make 3 Pts,0:22.4,,,27:14.33,27:36.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,10:25,Collin Madson,,,,15 Collin Madson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
39,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 09:51,,,,,Miss 2 Pts,0:34.8,,,27:34.25,28:09.05,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,9:51,Garret Rodgers,,,,33 Garret Rodgers > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts
40,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 09:46,,,,,Turnover,0:13.3,,,28:02.53,28:15.85,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,9:46,Joey Berezowitz,,,,22 Joey Berezowitz > Transition > Ballhandler > Turnover
41,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 09:29,,,,,Make 2 Pts,0:20.5,,,28:27.13,28:47.65,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,9:29,Jaden Ross,,,,23 Jaden Ross > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
42,Twins Swirl : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 09:06,,,,,Foul,0:20.7,,,28:50.33,29:11.05,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,9:06,Collin Madson,,,,24 Richie Warren > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 15 Collin Madson > Cut > Basket > Foul
43,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 08:42,,,,,Turnover,0:27.3,,,30:01.98,30:29.25,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,8:42,Jaden Ross,,,,23 Jaden Ross > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
44,FLow- M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 08:32,,,,,Turnover,0:12.9,,,30:35.65,30:48.58,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,8:32,Joey Berezowitz,,,,22 Joey Berezowitz > No Play Type > Turnover
45,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 08:10,,,,,Miss 2 Pts,0:27.6,,,30:56.33,31:23.93,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,8:10,Jaden Ross,,,,23 Jaden Ross > ISO > Top > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
46,Tran : - M2M(Drop),WWW@STC - 11/13/2025 QTR: 1 CLK: 07:50,,,,,Make 2 Pts,0:24.6,,,31:17.25,31:41.85,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,7:50,Jake Quast,,,,12 Jake Quast > Cut > Basket > Make 2 Pts
47,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 07:41,,,,,Turnover,0:10.0,,,31:39.65,31:49.65,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,7:41,Omar Gayle,,,,2 Omar Gayle > No Play Type > Turnover
48,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 07:35,,,,,Make 2 Pts,0:08.4,,,31:45.05,31:53.45,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,7:35,Richie Warren,,,,24 Richie Warren > Transition > Ballhandler > To Basket > Make 2 Pts
49,UWW M2M : - ATO,WWW@STC - 11/13/2025 QTR: 1 CLK: 07:29,,,,,0 Pts,0:14.5,,,33:37.45,33:51.93,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,7:29,Angel Johnson,,,,10 Angel Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts Foul > 0 Pts
50,5 Out- M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 07:02,,,,,Miss 2 Pts,0:24.5,,,34:32.33,34:56.85,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,7:02,Jr Lukenbill,,,,11 Jr Lukenbill > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
51,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 06:50,,,,,Miss 3 Pts,0:21.0,,,34:49.85,35:10.85,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,6:50,Tamarcus Butler,,,,10 Angel Johnson > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 11 Tamarcus Butler > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
52,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 06:38,,,,,Foul,0:15.5,,,35:21.25,35:36.78,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,6:38,Brock Marino,,,,21 Brock Marino > Transition > Right Wing > To Basket > Foul
53,UWW M2M Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 06:10,,,,,Miss 3 Pts,0:24.9,,,36:35.65,37:00.58,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,6:10,Corey Thompson,,,,10 Angel Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Corey Thompson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
54,UWW M2M-BLOB,WWW@STC - 11/13/2025 QTR: 1 CLK: 05:54,,,,,Miss 2 Pts,0:18.1,,,37:18.45,37:36.58,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,5:54,Charles Gitonga,,,,10 Angel Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Charles Gitonga > Cut > Basket > Miss 2 Pts
55,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 05:36,,,,,Make 3 Pts,0:24.6,,,38:29.85,38:54.45,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,5:36,Brock Marino,,,,0 Isaac Verges > ISO > Right > Drives Right > Defense Commits > Ball Delivered > 21 Brock Marino > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
56,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 05:20,,,,,Make 2 Pts,0:11.3,,,38:56.53,39:07.78,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,5:20,Angel Johnson,,,,10 Angel Johnson > ISO > Top > Drives Left > To Basket > Make 2 Pts
57,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 05:07,,,,,Make 3 Pts,0:17.7,,,39:05.65,39:23.33,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,5:07,Brock Marino,,,,2 Kelton Mcewen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
58,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 04:45,,,,,Make 2 Pts,0:16.3,,,39:27.93,39:44.25,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,4:45,Nicholas Buffalo,,,,1 Corey Thompson > ISO > Left > Drives Right > Defense Commits > Ball Delivered > 12 Nicholas Buffalo > Cut > Basket > Make 2 Pts
59,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 04:28,,,,,Foul,0:19.8,,,39:41.98,40:01.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,4:28,Isaac Verges,,,,0 Isaac Verges > Cut > Basket > Foul
60,UWW M2M,WWW@STC - 11/13/2025 QTR: 1,,,,,Non Shooting Foul,0:21.3,,,41:13.05,41:34.33,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,,Angel Johnson,,,,10 Angel Johnson > Non Possession > Non Shooting Foul
61,UWW M2M : - Blob,WWW@STC - 11/13/2025 QTR: 1 CLK: 03:58,,,,,Turnover,0:10.7,,,41:47.13,41:57.85,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,3:58,Angel Johnson,,,,10 Angel Johnson > ISO > Left > Drives Right > Defense Commits > Turnover
62,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 03:54,,,,,Miss 2 Pts,0:08.7,,,41:53.85,42:02.53,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,3:54,Isaac Verges,,,,0 Isaac Verges > Transition > Ballhandler > To Basket > Miss 2 Pts
63,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 03:43,,,,,Make 3 Pts,0:16.6,,,41:58.53,42:15.13,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,3:43,Angel Johnson,,,,10 Angel Johnson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
64,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 03:23,,,,,Miss 3 Pts,0:19.5,,,42:15.73,42:35.25,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,3:23,Luke Bara,,,,32 Luke Bara > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
65,UWW M2m,WWW@STC - 11/13/2025 QTR: 1 CLK: 02:58,,,,,Make 2 Pts,0:29.7,,,42:28.73,42:58.45,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,2:58,Corey Thompson,,,,1 Corey Thompson > ISO > Left > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts
66,5 Out - BS(BS) : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 02:36,,,,,Miss 2 Pts,0:24.8,,,42:55.98,43:20.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,2:36,Jake Quast,,,,15 Collin Madson > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 12 Jake Quast > Cut > Basket > Miss 2 Pts
67,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 02:12,,,,,Miss 2 Pts,0:21.2,,,43:25.38,43:46.53,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,2:12,Angel Johnson,,,,10 Angel Johnson > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
68,Panther : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 01:45,,,,,Miss 3 Pts,0:26.9,,,43:47.18,44:14.05,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,1:45,Collin Madson,,,,15 Collin Madson > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
69,Blob - Line(Curl) : - M2m,WWW@STC - 11/13/2025 QTR: 1 CLK: 01:30,,,,,Turnover,0:24.4,,,46:10.78,46:35.18,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,1:30,Brock Marino,,,,21 Brock Marino > Spot-Up > Drives Left > To Basket > Turnover
70,M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 01:06,,,,,Make 2 Pts,0:23.6,,,46:57.65,47:21.25,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,1:06,Nathan Kongolo,,,,0 Nathan Kongolo > Hand Off > From Dribble > Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
71,5 OUT - DS : - M2M(PRES),WWW@STC - 11/13/2025 QTR: 1 CLK: 00:46,,,,,Turnover,0:23.0,,,47:19.13,47:42.13,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,0:46,Jake Quast,,,,12 Jake Quast > Hand Off > From Dribble > Top > Turnover
72,TRAN,WWW@STC - 11/13/2025 QTR: 1 CLK: 00:41,,,,,Make 2 Pts,0:08.9,,,47:37.45,47:46.33,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,0:41,Corey Thompson,,,,1 Corey Thompson > Transition > Ballhandler > To Basket > Make 2 Pts
73,5 OUT : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 00:25,,,,,Foul,0:17.5,,,47:47.85,48:05.38,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,0:25,Isaac Verges,,,,0 Isaac Verges > Spot-Up > Drives Left > To Basket > Foul
74,UWW M2M,WWW@STC - 11/13/2025 QTR: 1,,,,,No Violation,0:12.9,,,48:48.93,49:01.85,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,,Angel Johnson,,,,10 Angel Johnson > Non Possession > No Violation
75,UWW M2M : - ATO,WWW@STC - 11/13/2025 QTR: 1 CLK: 00:05,,,,,Miss 3 Pts,0:25.9,,,49:25.25,49:51.13,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,0:05,Corey Thompson,,,,10 Angel Johnson > ISO > Top > Drives Right > Defense Commits > Ball Delivered > 1 Corey Thompson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
76,SNAP : - M2M(SWITCH),WWW@STC - 11/13/2025 QTR: 2 CLK: 19:48,,,,,Foul,0:17.1,,,1:06:23.65,1:06:40.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,2,19:48,Collin Madson,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
77,UWW M2M,WWW@STC - 11/13/2025 QTR: 2 CLK: 19:28,,,,,Miss 2 Pts,0:20.4,,,1:07:16.53,1:07:36.93,St. Thomas (TX) Celts,WWW@STC,11/14/2025,2,19:28,Nathan Kongolo,,,,0 Nathan Kongolo > ISO > Right > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
78,TRAN,WWW@STC - 11/13/2025 QTR: 2,,,,,Non Shooting Foul,0:14.7,,,1:07:30.85,1:07:45.53,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,2,,Collin Madson,,,,15 Collin Madson > Non Possession > Non Shooting Foul
79,BLOB - LINE(CURL) : - M2M,WWW@STC - 11/13/2025 QTR: 2 CLK: 19:08,,,,,Miss 3 Pts,0:22.0,,,1:07:56.58,1:08:18.58,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,2,19:08,Luke Bara,,,,32 Luke Bara > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
