#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
20,Hogan Demovsky,WWW@Law - 12/09/2025 QTR: 1 CLK: 18:10,,LAW OREB ; NO BOX OUT,,,Miss 3 Pts,0:07.5,0:10.6,0:18.1,13:02.47,13:20.60,Lawrence,WWW@Law,12/10/2025,1,18:10,Hogan Demovsky,,,,10 Hogan Demovsky > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
21,Casey Schoenecker,WWW@Law - 12/09/2025 QTR: 2 CLK: 11:43,,OREB BACK CUTS US & WE LEAVE OUR FEET,,,Miss 2 Pts,0:10.9,0:18.7,0:29.5,1:22:06.05,1:22:35.58,Lawrence,WWW@Law,12/10/2025,2,11:43,Casey Schoenecker,,,,20 Casey Schoenecker > Spot-Up > Drives Right > To Basket > Miss 2 Pts
22,Nathan Valentine,WWW@Law - 12/09/2025 QTR: 1,,REACH,,,Non Shooting Foul,0:04.3,0:04.1,0:08.4,15:05.73,15:15.40,Lawrence,WWW@Law,12/10/2025,1,,Nathan Valentine,,,,3 Nathan Valentine > Non Possession > Non Shooting Foul
23,Casey Schoenecker,WWW@Law - 12/09/2025 QTR: 2 CLK: 18:18,,INSIDE HAND COMES DOWN = FOUL,,,Foul,0:11.2,0:07.6,0:18.8,1:07:29.13,1:07:47.93,Lawrence,WWW@Law,12/10/2025,2,18:18,Casey Schoenecker,,,,20 Casey Schoenecker > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Foul
24,Nathan Valentine,WWW@Law - 12/09/2025 QTR: 2 CLK: 09:39,,SLAP/RACH = FOUL,,,Foul,0:11.8,0:09.9,0:21.7,1:26:31.73,1:26:53.45,Lawrence,WWW@Law,12/10/2025,2,9:39,Nathan Valentine,,,,3 Nathan Valentine > Post-Up > Left Block > Left Shoulder > Dribble Move > Foul
25,Hogan Demovsky,WWW@Law - 12/09/2025 QTR: 2 CLK: 08:23,,NEED TO SHOW HANDS WHEN PRESSING UP/FIGHTING THROUGH,,,Foul,0:05.4,0:01.9,0:07.2,1:29:39.78,1:29:50.73,Lawrence,WWW@Law,12/10/2025,2,8:23,Hogan Demovsky,,,,10 Hogan Demovsky > No Play Type > Foul
26,CJ Campbell,WWW@Law - 12/09/2025 QTR: 1 CLK: 15:35,,SIDE BALL SCREEN - STAY UNTIL GUARD GETS BETWEEN BIG & BALL,,,Miss 2 Pts,0:11.9,0:12.4,0:24.3,16:11.67,16:36.00,Lawrence,WWW@Law,12/10/2025,1,15:35,CJ Campbell,,,,3 Nathan Valentine > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 15 CJ Campbell > Cut > Basket > Miss 2 Pts
27,Cameron Nash,WWW@Law - 12/09/2025 QTR: 1,,"NOT PRESSURING, LOOSE SWITCH LEADS TO A FOUL",,,Non Shooting Foul,0:11.5,0:12.4,0:23.9,18:43.27,19:07.20,Lawrence,WWW@Law,12/10/2025,1,,Cameron Nash,,,,5 Cameron Nash > Non Possession > Non Shooting Foul
28,Cameron Nash,WWW@Law - 12/09/2025 QTR: 1 CLK: 14:27,,LATE COMMUNICATION ON SWITCH,,,Make 3 Pts,0:08.1,0:01.5,0:09.6,19:33.53,19:43.13,Lawrence,WWW@Law,12/10/2025,1,14:27,Cameron Nash,,,,5 Cameron Nash > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
29,Nicholas Gouriotis,WWW@Law - 12/09/2025 QTR: 1 CLK: 12:47,,GOOD HELP & PEEL OFF,,,Turnover,0:13.6,0:09.1,0:22.7,21:34.80,21:57.53,Lawrence,WWW@Law,12/10/2025,1,12:47,Nicholas Gouriotis,,,,12 Nicolas Manzanera > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Nicholas Gouriotis > Cut > Basket > Turnover
30,Collin Madson,WWW@Law - 12/09/2025 QTR: 1 CLK: 12:25,,DIVING ON THE FLOOR & ADVANCING THE BALL IN TRANSITION,,,Make 2 Pts,0:09.6,N/A,N/A,22:05.67,22:15.27,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,12:25,Collin Madson,,,,15 Collin Madson > Transition > Leak Outs > To Basket > Make 2 Pts
31,Jackson Weber,WWW@Law - 12/09/2025 QTR: 1 CLK: 04:11,,"GOOD TAG & RECOVERY, BOTTOM GUY WITH TWO NEEDS TO ACCOUNT FOR CORNER",,,Turnover,0:11.7,0:03.5,0:15.2,36:51.85,37:07.05,Lawrence,WWW@Law,12/10/2025,1,4:11,Jackson Weber,,,,11 Jackson Weber > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover
32,Landon Key,WWW@Law - 12/09/2025 QTR: 1 CLK: 01:06,,GOOD DEFENSIVE POSSESSION,,,Turnover,0:21.8,0:08.9,0:30.8,45:17.98,45:48.73,Lawrence,WWW@Law,12/10/2025,1,1:06,Landon Key,,,,14 Landon Key > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover
