team,jersey_number,name,position,height,class_year,photo_url,source
Ripon Red Hawks,2,CAEDEN HOLLY,G,5-10,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Caeden Holly/1762758268960,FastScout roster page
Ripon Red Hawks,3,SETH BUNDERS,G,6-0,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Seth Bunders/1762758262229,FastScout roster page
Ripon Red Hawks,4,JARTON DAVIS,G,6-1,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jarton Davis/1762758263080,FastScout roster page
Ripon Red Hawks,5,JAKE THOMSEN,G,6-2,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jake Thomsen/1762758266089,FastScout roster page
Ripon Red Hawks,10,LANDON LEE,G,5-10,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Landon Lee/1762758258746,FastScout roster page
Ripon Red Hawks,11,SAM LEONI,G,6-1,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Sam Leoni/1762758261332,FastScout roster page
Ripon Red Hawks,12,KOLBY WILLIAMS,F,6-7,SR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Kolby Williams/1762758261754,FastScout roster page
Ripon Red Hawks,13,CJ BROWN,G,6-3,SR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/CJ Brown/1762758266955,FastScout roster page
Ripon Red Hawks,14,JOEY DAUN,G,6-2,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Joey Daun/1762758265718,FastScout roster page
Ripon Red Hawks,15,JOSE GONZALES,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jose Gonzales/1762758263821,FastScout roster page
Ripon Red Hawks,20,ANTON KILDE,F,6-3,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Anton Kilde/1762758267358,FastScout roster page
Ripon Red Hawks,22,OLIN ZELLMER,G,6-0,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Olin Zellmer/1762758260093,FastScout roster page
Ripon Red Hawks,23,KEENAN RAHN,G,6-4,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Keenan Rahn/1762758260431,FastScout roster page
Ripon Red Hawks,24,FISHER MACKENZIE,G,6-3,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Fisher MacKenzie/1762758264218,FastScout roster page
Ripon Red Hawks,30,ABE DYKSTRA,G,6-4,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Abe Dykstra/1762758262646,FastScout roster page
Ripon Red Hawks,32,CHRISTIAN WILSON,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Christian Wilson/1762758267739,FastScout roster page
Ripon Red Hawks,33,JACKSON FLOWERS,F,6-6,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jackson Flowers/1762758264582,FastScout roster page
Ripon Red Hawks,34,NICK AHLQUIST,F,6-4,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Nick Ahlquist/1762758265320,FastScout roster page
Ripon Red Hawks,35,MICHAEL ASMAN,F,6-7,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Michael Asman/1762758268568,FastScout roster page
Ripon Red Hawks,42,JACK FIELD,F,6-7,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jack Field/1762758269346,FastScout roster page
Ripon Red Hawks,43,JACK ELLICKSON,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jack Ellickson/1762758260864,FastScout roster page
Ripon Red Hawks,44,MARSHAWN ROBINSON,G,6-3,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Marshawn Robinson/1762758259170,FastScout roster page
Ripon Red Hawks,55,BIRCH GUNJA,F,6-6,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Birch Gunja/1762758266599,FastScout roster page
Ripon Red Hawks,50,TUCKER HAYES,F,6-7,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Tucker Hayes/1762758268119,FastScout roster page
St. Thomas (TX) Celts,0,NATHAN KONGOLO,G/F,6-4,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Nathan Kongolo/1762760974265,FastScout roster page
St. Thomas (TX) Celts,1,COREY THOMPSON,G,6-2,JR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Corey Thompson/1773912040343,FastScout roster page
St. Thomas (TX) Celts,2,OMAR GAYLE,G,5-10,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Omar Gayle/1762760976530,FastScout roster page
St. Thomas (TX) Celts,3,BRENNAN WEBB,G,6-1,FR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Brennan Webb/1762760973060,FastScout roster page
St. Thomas (TX) Celts,5,REYCE ALLEN,F,6-5,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Reyce Allen/1762760973786,FastScout roster page
St. Thomas (TX) Celts,10,ANGEL JOHNSON,G,6-2,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Angel Johnson/1762760973571,FastScout roster page
St. Thomas (TX) Celts,11,TAMARCUS BUTLER,G,6-3,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Tamarcus Butler/1762760971866,FastScout roster page
