team,player,side,cell_hy,cell_hx,frames
UW-Oshkosh Titans,TEAM,defense,35,40,49
UW-Oshkosh Titans,TEAM,defense,35,35,50
UW-Oshkosh Titans,TEAM,defense,40,45,24
UW-Whitewater,TEAM,offense,40,10,60
UW-Whitewater,TEAM,offense,35,10,128
UW-Whitewater,TEAM,offense,30,10,145
UW-Whitewater,TEAM,offense,0,30,44
UW-Whitewater,TEAM,offense,0,35,18
UW-Oshkosh Titans,TEAM,defense,30,10,43
UW-Oshkosh Titans,TEAM,defense,0,10,41
UW-Whitewater,TEAM,offense,20,40,46
UW-Oshkosh Titans,TEAM,defense,25,0,7
UW-Oshkosh Titans,TEAM,defense,30,0,16
UW-Oshkosh Titans,TEAM,defense,35,0,27
UW-Oshkosh Titans,TEAM,offense,10,40,33
UW-Oshkosh Titans,TEAM,offense,5,30,50
UW-Whitewater,TEAM,defense,10,20,31
UW-Oshkosh Titans,TEAM,offense,15,10,40
UW-Oshkosh Titans,TEAM,offense,35,5,31
UW-Oshkosh Titans,TEAM,offense,30,5,32
UW-Oshkosh Titans,TEAM,offense,40,45,27
UW-Oshkosh Titans,TEAM,offense,5,25,37
UW-Oshkosh Titans,TEAM,offense,25,40,46
UW-Oshkosh Titans,TEAM,offense,30,45,18
UW-Oshkosh Titans,TEAM,offense,10,45,35
UW-Oshkosh Titans,TEAM,offense,15,45,53
UW-Whitewater,TEAM,defense,35,35,40
UW-Whitewater,TEAM,defense,20,45,17
UW-Whitewater,TEAM,defense,35,40,28
UW-Whitewater,TEAM,defense,35,45,7
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,40,10
UW-Oshkosh Titans,Brandon Beck,defense,5,35,19
UW-Oshkosh Titans,Brandon Beck,defense,10,45,2
UW-Oshkosh Titans,TEAM,defense,10,45,23
UW-Oshkosh Titans,Brandon Beck,defense,10,40,3
UW-Oshkosh Titans,Brandon Beck,defense,10,25,11
UW-Oshkosh Titans,Brandon Beck,defense,10,15,4
UW-Oshkosh Titans,Brandon Beck,defense,0,15,10
UW-Oshkosh Titans,TEAM,defense,0,15,81
