opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report,height_inches,position_group,notes_tags,keys_tags,notes_tags_display,keys_tags_display,MIN,FG%,3PM-A,3P%,FTM-A,FT%,REB,AST,TO,STL,BLK,PTS
Simpson Storm,2025-11-25,#2,Bo Huston,G,"5'10""",160 lbs,SR,Bench,LH Shooter,High/Early hand on closeout!,True,70,Guard,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,22.3,34.0%,11-35,31.4%,6-10,60.0%,5.1,13,12,4,1,7.0
Simpson Storm,2025-11-25,#0,Jachin Mertes,G,"6'6""",,JR,Bench,"Will post, drive, & shoot",Antcipate RHD,True,78,Guard,"{'slasher_driver', 'three_point_shooter', 'post_scorer'}",{'anticipate_move'},"post_scorer, slasher_driver, three_point_shooter",anticipate_move,17.7,43.9%,3-8,37.5%,1-5,20.0%,4.3,0,3,2,1,5.7
Simpson Storm,2025-11-25,#3,Isaac Averill,G,"6'4""",,FR,Bench,RH but prefers to attack L,Antcipate step back on LHD,True,76,Guard,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,25.4,36.8%,2-7,28.6%,3-6,50.0%,4.0,4,6,0,0,9.5
Ripon Red Hawks,2025-11-07,#3,Seth Bunders,G,"6'0""",140 lbs,JR,Starter,Shooter!,NO C&S 3's!!!,True,72,Guard,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,18.4,35.0%,20-66,30.3%,24-28,85.7%,3.6,1.7,0.8,0.9,0.2,5.1
Ripon Red Hawks,2025-11-07,#13,CJ Brown,G,"6'3""",,SR,Starter,Go To=mid range pull up (1-2 dribbles),Anticipate 1 dribble pull up,True,75,Guard,"{'high_usage', 'pull_up_shooter'}",{'anticipate_move'},"high_usage, pull_up_shooter",anticipate_move,21.8,36.5%,14-49,28.6%,9-14,64.3%,1.7,1.0,1.1,0.6,0.1,5.6
Ripon Red Hawks,2025-11-07,#44,Marshawn Robinson,G,"6'3""",180 lbs,JR,Starter,Driver/Shooter,Anticipate pull up when he goes left,True,75,Guard,"{'slasher_driver', 'three_point_shooter'}",{'anticipate_move'},"slasher_driver, three_point_shooter",anticipate_move,,,,,,,,,,,,
Ripon Red Hawks,2025-11-07,#35,Michael Asman,F,"6'7""",,SO,Starter,C&S 3's,No C&S 3s!! (stunt v. pick & pop),True,79,Forward/Post,"{'three_point_shooter', 'catch_and_shoot'}",{'deny_catch_and_shoot'},"catch_and_shoot, three_point_shooter",deny_catch_and_shoot,13.1,53.7%,12-29,41.4%,6-6,100.0%,2.4,0.1,0.9,0.1,0.2,5.3
Ripon Red Hawks,2025-11-07,#12,Kolby Williams,F,"6'7""",,SR,Starter,Rebounds Hard!,Boxout!!!,True,79,Forward/Post,{'rebounder'},{'box_out_priority'},rebounder,box_out_priority,26.0,46.5%,3-9,33.3%,46-87,52.9%,5.9,0.6,1.5,0.4,1.1,9.3
Ripon Red Hawks,2025-11-07,#4,Jarton Davis,G,"6'1""",,JR,Bench,Shooter/Driver,Limit C&S 3's,True,73,Guard,"{'slasher_driver', 'three_point_shooter'}",{'deny_catch_and_shoot'},"slasher_driver, three_point_shooter",deny_catch_and_shoot,11.6,29.5%,6-25,24.0%,6-8,75.0%,1.2,0.1,0.7,0.3,0.1,3.2
Ripon Red Hawks,2025-11-07,#5,Jake Thomsen,G,"6'2""",,JR,Bench,C&S 3's,No C&S 3's,True,74,Guard,"{'three_point_shooter', 'catch_and_shoot'}",{'deny_catch_and_shoot'},"catch_and_shoot, three_point_shooter",deny_catch_and_shoot,5.3,38.5%,3-10,30.0%,0-0,-,0.8,0.1,0.0,0.0,0.0,1.3
