clip_key,offense_team,defense_team,screen_type,hx,hy,zone,screener,coverage,coverage_source,points
2026-01-03|136|21 Carter Thomas > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,26.9,40.6,Right wing,Michael Metcalf-Grassman,stay,coach tag,0.0
2026-01-03|138|4 Michael Metcalf-Grassman > Spot-Up > Drives Left > To Basket > Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,20.2,25.6,Right elbow,unnamed offense,m2m,coach tag,1.0
2026-01-03|142|22 Joey Berezowitz > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Jake Quast > Spot-Up > Drives Right > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,23.5,19.7,Top of key,unnamed offense,rj,coach tag,0.0
2026-01-03|143|2 Kelton Mcewen > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,29.1,18.0,Top of key,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|144|23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,17.6,13.2,Left wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|145|12 Jonah Rindfleisch > No Play Type > Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,73.8,23.9,Backcourt,unnamed offense,unclear,tracking estimate,2.0
2026-01-03|148|22 Joey Berezowitz > Transition > Ballhandler > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,9.4,11.3,Left baseline,unnamed offense,unclear,tracking estimate,2.0
2026-01-03|149|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,21.7,32.4,Right elbow,unnamed offense,unclear,tracking estimate,3.0
2026-01-03|150|0 Collin Madson > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > Drives Left > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,21.4,21.4,Left elbow,Jake Quast,rj,coach tag,0.0
2026-01-03|153|12 Jonah Rindfleisch > ISO > Top > Drives Right > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,11.4,14.2,Left baseline,unnamed offense,separated (under / behind),tracking estimate,0.0
