opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
MSOE Raiders,2025-11-08,MSOE Raiders,CJ Valente,4,2,2,0,0,0,0,1,0,0,0,0,0,1,1,100.0,,,16.6,False
MSOE Raiders,2025-11-08,MSOE Raiders,Carson Cordelli,6,2,4,0,1,2,3,0,3,0,1,0,2,4,3,50.0,0.0,66.7,17.8,False
MSOE Raiders,2025-11-08,MSOE Raiders,Chad Coplin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0.3,False
MSOE Raiders,2025-11-08,MSOE Raiders,Chase Cummings,8,3,10,1,6,1,1,0,5,2,0,0,3,1,5,30.0,16.7,100.0,35.5,False
MSOE Raiders,2025-11-08,MSOE Raiders,Daniel Franklin IV,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,7.2,False
MSOE Raiders,2025-11-08,MSOE Raiders,Dubem Igwilo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,False
MSOE Raiders,2025-11-08,MSOE Raiders,Isaac Wit,6,2,3,2,2,0,0,1,0,0,0,0,0,1,1,66.7,100.0,,23.5,False
MSOE Raiders,2025-11-08,MSOE Raiders,Jace Paul,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,2.0,False
MSOE Raiders,2025-11-08,MSOE Raiders,Joey Jendusa,9,3,7,1,2,2,2,2,1,3,2,0,2,0,3,42.9,50.0,100.0,30.9,False
MSOE Raiders,2025-11-08,MSOE Raiders,Jonathan Burroughs,14,5,11,3,5,1,1,0,3,4,1,0,1,3,3,45.5,60.0,100.0,30.5,False
MSOE Raiders,2025-11-08,MSOE Raiders,Kolby Henderlong,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,,1.2,False
MSOE Raiders,2025-11-08,MSOE Raiders,Mason Accidentale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,False
MSOE Raiders,2025-11-08,MSOE Raiders,Matus Dopirak,10,3,8,0,2,4,4,0,5,3,0,0,0,2,5,37.5,0.0,100.0,22.8,False
MSOE Raiders,2025-11-08,MSOE Raiders,Quinn Rosenberg,0,0,3,0,2,0,0,2,0,1,0,0,1,0,2,0.0,0.0,,9.0,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Austin Schaumburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Cal Krohn,21,8,13,0,0,5,7,2,4,3,0,0,1,2,6,61.5,,71.4,29.8,True
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Carter Combs,6,2,2,2,2,0,0,0,4,2,0,0,0,4,4,100.0,100.0,,15.2,True
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Drew Daoust,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,,5.4,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Grant Manz,2,1,1,0,0,0,0,0,2,1,0,0,0,2,2,100.0,,,12.3,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Isaiah Moore,4,2,5,0,2,0,0,3,1,1,1,0,0,3,4,40.0,0.0,,22.6,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,James Jacobs,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,100.0,,,2.2,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Josiah Butler,24,7,15,4,8,6,7,1,4,2,1,0,1,2,5,46.7,50.0,85.7,36.6,True
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Logan Baumgartner,11,4,8,3,7,0,0,1,3,0,1,0,1,2,4,50.0,42.9,,29.6,True
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Max Raimer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,4.4,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Seth Miron,9,4,10,1,4,0,0,1,0,4,1,0,1,2,1,40.0,25.0,,26.2,True
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.1,False
MSOE Raiders,2025-11-08,UW-Stevens Point Pointers,Tyler Orr,0,0,2,0,2,0,0,0,3,0,0,0,0,1,3,0.0,0.0,,10.0,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Caden Nichols,3,1,3,1,3,0,0,0,0,0,0,0,1,0,0,33.3,33.3,,7.7,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Chris Ketchum,2,1,1,0,0,0,2,0,3,1,1,0,2,4,3,100.0,,0.0,19.0,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Eli Stipp,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,2.5,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Ian Winkler,11,5,14,1,7,0,0,1,0,4,1,0,1,3,1,35.7,14.3,,30.3,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Jacob Bullock,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.6,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Kobe Anderson,4,2,2,0,0,0,0,0,1,3,1,0,1,2,1,100.0,,,11.2,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,Lane Thomann,21,8,16,3,7,2,2,1,6,2,1,0,1,4,7,50.0,42.9,100.0,37.8,False
Millikin Big Blue,2025-11-22,Millikin Big Blue,McGrady Noyes,2,1,3,0,1,0,0,2,2,3,2,0,2,3,4,33.3,0.0,,19.3,False
