clip_key,game_date,offense_team,defense_team,screen_type,screener,screened,screened_defender,screener_defender,coverage,coverage_source,coverage_tracking_estimate,screener_action,points,play_title,synergy_string,confidence
2026-01-03|132|20 Vitorio Dante > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,0.0,tran,20 Vitorio Dante > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,0.0
2026-01-03|135|21 Brock Marino > ISO > Top > Drives Left > To Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,1.0,5out(ds):press(rj)(switch),21 Brock Marino > ISO > Top > Drives Left > To Basket > Foul,0.0
2026-01-03|136|21 Carter Thomas > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,Michael Metcalf-Grassman,unnamed offense,Jake Quast,unnamed defense,stay,coach tag,separated (under / behind),,0.0,bs:switch(stay),21 Carter Thomas > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,0.14
2026-01-03|138|4 Michael Metcalf-Grassman > Spot-Up > Drives Left > To Basket > Foul,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,Michael Metcalf-Grassman,Jake Quast,unnamed defense,m2m,coach tag,unclear,,1.0,:press(m2m),4 Michael Metcalf-Grassman > Spot-Up > Drives Left > To Basket > Foul,0.34
2026-01-03|142|22 Joey Berezowitz > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Jake Quast > Spot-Up > Drives Right > To Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,unclear,,0.0,bs:press(rj)(switch),22 Joey Berezowitz > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Jake Quast > Spot-Up > Drives Right > To Basket > Miss 2 Pts,0.0
2026-01-03|143|2 Kelton Mcewen > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,0.0,blob:m2m,2 Kelton Mcewen > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts,0.0
2026-01-03|144|23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,Jake Quast,unnamed defense,unclear,tracking estimate,unclear,,0.0,spain:m2m(switch2nd),23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,0.23
2026-01-03|145|12 Jonah Rindfleisch > No Play Type > Foul,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,Jake Quast,unnamed defense,unclear,tracking estimate,unclear,,2.0,tran,12 Jonah Rindfleisch > No Play Type > Foul,0.24
2026-01-03|148|22 Joey Berezowitz > Transition > Ballhandler > To Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,Michael Metcalf-Grassman,,unclear,tracking estimate,unclear,,2.0,tran,22 Joey Berezowitz > Transition > Ballhandler > To Basket > Foul,0.25
2026-01-03|149|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,Brandon Beck,unnamed defense,,unclear,tracking estimate,unclear,roll,3.0,bs:Press(token)(tl),2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,0.34
2026-01-03|150|0 Collin Madson > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > Drives Left > To Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,Jake Quast,unnamed offense,unnamed defense,,rj,coach tag,unclear,,0.0,:press(rj),0 Collin Madson > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > Drives Left > To Basket > Miss 2 Pts,0.26
2026-01-03|153|12 Jonah Rindfleisch > ISO > Top > Drives Right > To Basket > Miss 2 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,0.0,sci:m2m,12 Jonah Rindfleisch > ISO > Top > Drives Right > To Basket > Miss 2 Pts,0.0
2026-01-03|155|21 Brock Marino > Spot-Up > Drives Right > To Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,Jake Quast,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,separated (under / behind),,1.0,:m2m(rj),21 Brock Marino > Spot-Up > Drives Right > To Basket > Foul,0.42
2026-01-03|156|0 Brandon Beck > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,Michael Metcalf-Grassman,unnamed defense,,12,coach tag,stayed attached (lock / trail),,0.0,:press(12),0 Brandon Beck > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,0.3
