clip_key,game_date,clip_number,offense_team,defense_team,play_title,suggested_title,synergy_string,result,points,frames,fps,holders,screen,screen_type,set_id
2026-01-03|54|20 Vitorio Dante > Non Possession > No Violation,2026-01-03,54,UW-Oshkosh Titans,UW-Whitewater,5out:m2m,5 out: m2m (rj),20 Vitorio Dante > Non Possession > No Violation,No Violation,,49,2,{},"{""screener"": 0, ""screened"": 5, ""screened_defender"": 1, ""screener_defender"": 4, ""t"": 5, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|55|1 Aiden Hawkinson > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,55,UW-Oshkosh Titans,UW-Whitewater,Aiden Hawkinson,5 out: m2m (rj),1 Aiden Hawkinson > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,55,2,{},,,UW-Oshkosh T set 2
2026-01-03|56|24 Richie Warren > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts,2026-01-03,56,UW-Whitewater,UW-Oshkosh Titans,5out(ds)::m2m,5 out(post): m2m (rj),24 Richie Warren > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts,Make 2 Pts,2.0,33,2,{},"{""screener"": 21, ""screened"": 20, ""screened_defender"": 25, ""screener_defender"": 22, ""t"": 23, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|57|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,2026-01-03,57,UW-Oshkosh Titans,UW-Whitewater,5out(bs):m2m(under),5 out(bs): m2m (rj),5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,60,2,{},"{""screener"": 16, ""screened"": 19, ""screened_defender"": 17, ""screener_defender"": null, ""t"": 29, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Oshkosh T set 3
2026-01-03|58|2 Joey LaChapell > Hand Off > From Dribble > Top > To Basket > Make 2 Pts,2026-01-03,58,UW-Oshkosh Titans,UW-Whitewater,blob(box-cut corner-pop):m2m,5 out(dho): m2m (rj),2 Joey LaChapell > Hand Off > From Dribble > Top > To Basket > Make 2 Pts,Make 2 Pts,2.0,21,2,{},"{""screener"": 5, ""screened"": 2, ""screened_defender"": 4, ""screener_defender"": 6, ""t"": 5, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|59|24 Richie Warren > ISO > Top > Drives Right > To Basket > Make 2 Pts,2026-01-03,59,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out(iso): press - m2m (rj),24 Richie Warren > ISO > Top > Drives Right > To Basket > Make 2 Pts,Make 2 Pts,2.0,59,2,{},"{""screener"": 37, ""screened"": 33, ""screened_defender"": 19, ""screener_defender"": null, ""t"": 54, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 1
2026-01-03|60|21 Carter Thomas > Spot-Up > Drives Right > To Basket > Foul,2026-01-03,60,UW-Oshkosh Titans,UW-Whitewater,::m2m,5 out: m2m (rj),21 Carter Thomas > Spot-Up > Drives Right > To Basket > Foul,Foul,2.0,60,2,{},,,UW-Oshkosh T set 1
2026-01-03|61|24 Richie Warren > Spot-Up > Drives Right > Turnover,2026-01-03,61,UW-Whitewater,UW-Oshkosh Titans,cheetah:press(rj)(switch),5 out: press - m2m (rj),24 Richie Warren > Spot-Up > Drives Right > Turnover,Turnover,0.0,49,2,{},,,
2026-01-03|62|4 Michael Metcalf-Grassman > Transition > Right Wing > To Basket > Make 2 Pts,2026-01-03,62,UW-Oshkosh Titans,UW-Whitewater,tran,tran,4 Michael Metcalf-Grassman > Transition > Right Wing > To Basket > Make 2 Pts,Make 2 Pts,2.0,9,2,{},,,
2026-01-03|63|32 Luke Bara > Transition > Ballhandler > To Basket > Miss 2 Pts,2026-01-03,63,UW-Whitewater,UW-Oshkosh Titans,tran,tran,32 Luke Bara > Transition > Ballhandler > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,45,2,{},,,
2026-01-03|64|32 Luke Bara > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,64,UW-Whitewater,UW-Oshkosh Titans,blob(line): m2m,5 out: m2m (rj),32 Luke Bara > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,29,2,{},,,
