lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Brock Massey, Jack Haynes, Johnny Semany, Kyle Kober, Lukas Balling",2,20.2,0.0,4,2,2,0,0,0,0,0,3,3,1,0,0,3,2,100.0,,
"Brock Massey, Gavin Sarvis, Johnny Semany, Kyle Kober, Lukas Balling",2,20.2,9.0,2,0,2,0,1,2,2,0,1,1,0,0,0,2,3,0.0,0.0,100.0
"Brock Massey, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",5,20.0,-18.0,33,11,22,1,7,10,11,7,9,16,6,4,0,2,3,50.0,14.3,90.9
"Dylan Kurt, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober",1,19.9,23.0,6,3,6,0,2,0,0,1,2,3,0,1,1,2,1,50.0,0.0,
"Damyen Jackson, Deng Makeer, Jack Haynes, Johnny Semany, Nolan Berendes",3,19.7,5.0,4,0,5,0,2,4,5,3,2,5,0,0,0,1,1,0.0,0.0,80.0
"Damyen Jackson, Damyen Jackson Commits Foul, Deng Makeer, Dylan Kurt, Jack Haynes",1,19.5,1.0,13,5,6,3,4,0,0,0,2,2,3,1,1,0,3,83.3,75.0,
"Damyen Jackson, Deng Makeer, Johnny Semany, Kyle Kober, Nolan Berendes",3,19.2,-6.0,5,1,5,1,4,2,2,2,1,3,1,1,0,0,4,20.0,25.0,100.0
"Brock Massey, Dylan Kurt, Gavin Sarvis, Jack Haynes, Kyle Kober",1,18.2,-1.0,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,50.0,100.0,
"Brock Massey, Damyen Jackson, Deng Makeer, Johnny Semany, Nolan Berendes",2,18.2,4.0,1,0,4,0,3,1,1,0,7,7,0,0,1,4,4,0.0,0.0,100.0
"Athan Berchos, Damyen Jackson, Dylan Kurt, Jack Haynes, Nolan Berendes",1,18.2,-4.0,6,2,4,0,0,2,2,2,1,3,0,1,0,0,0,50.0,,100.0
"Damyen Jackson Commits Foul, Gavin Sarvis, Jack Haynes, Johnny Semany, Patrick Quarnstrom",1,18.0,1.0,1,0,3,0,1,1,2,1,3,4,0,1,0,2,1,0.0,0.0,50.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Gavin Sarvis, Kyle Kober",1,17.4,0.0,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0.0,,66.7
"Brock Massey, Gavin Sarvis, Jack Haynes, Johnny Semany, Patrick Quarnstrom",1,17.3,4.0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,100.0,,
"Damyen Jackson, Deng Makeer, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,17.2,-3.0,10,4,4,1,1,1,1,1,2,3,0,3,0,2,4,100.0,100.0,100.0
"Brock Massey, Damyen Jackson, Damyen Jackson Commits Foul, Jack Haynes, Johnny Semany",1,17.2,-2.0,8,3,3,2,2,0,0,0,0,0,2,1,0,0,1,100.0,100.0,
"Brock Massey, Connor Mosele, Deng Makeer, Dylan Kurt, Jack Haynes",1,17.1,0.0,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,33.3,,
"Connor Mosele, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",1,17.0,0.0,5,2,4,1,2,0,0,1,3,4,1,0,0,0,0,50.0,50.0,
"Damyen Jackson, Emmett Loew, Jack Haynes, Kyle Kober, Nolan Berendes",2,17.0,0.0,5,2,3,1,1,0,0,0,3,3,2,1,0,2,2,66.7,100.0,
"Connor Mosele, Damyen Jackson, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,17.0,-2.0,3,1,4,1,3,0,0,0,3,3,0,0,1,1,2,25.0,33.3,
"Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",1,16.6,2.0,1,0,1,0,0,1,2,0,1,1,0,0,0,1,2,0.0,,50.0
"Damyen Jackson, Dylan Kurt, Jack Haynes, Kyle Kober, Nolan Berendes",2,16.2,0.0,4,1,3,0,0,2,2,2,0,2,1,0,0,0,1,33.3,,100.0
"Brock Massey, Deng Makeer, Dylan Kurt, Jack Haynes, Patrick Quarnstrom",1,16.2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,
"Damyen Jackson, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",3,16.1,2.0,28,8,16,4,8,8,11,5,5,10,6,5,1,1,6,50.0,50.0,72.7
"Brock Massey, Damyen Jackson, Deng Makeer, Johnny Semany, Patrick Quarnstrom",2,16.0,2.0,6,2,4,0,1,2,3,0,2,2,1,0,1,1,2,50.0,0.0,66.7
"Athan Berchos, Connor Mosele, Dylan Kurt, Ethan Meyer, Nolan Berendes",1,15.9,0.0,11,3,6,1,4,4,5,1,3,4,1,1,0,2,3,50.0,25.0,80.0
"Brock Massey, Gavin Sarvis, Johnny Semany, Kyle Kober, Patrick Coen",2,15.7,5.0,2,1,2,0,0,0,0,0,0,0,1,1,0,1,2,50.0,,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes, Kyle Kober",3,15.5,-7.0,5,2,18,1,9,0,0,8,2,10,0,2,0,1,4,11.1,11.1,
"Commits Foul, Connor Mosele, Deng Makeer, Jack Haynes, Patrick Quarnstrom",1,15.4,1.0,0,0,1,0,1,0,0,0,2,2,0,0,0,3,3,0.0,0.0,
"Brock Massey, Damyen Jackson Commits Foul, Johnny Semany, Kyle Kober, Nolan Berendes",1,15.4,3.0,3,1,3,0,0,1,1,1,0,1,1,0,0,1,0,33.3,,100.0
"Emmett Loew, Jack Haynes, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",4,15.1,-30.0,26,10,24,5,11,1,2,7,7,14,9,6,2,10,9,41.7,45.5,50.0
"Emmett Loew, Gavin Sarvis, Kyle Kober, Lukas Balling, Nolan Berendes",3,15.1,16.0,38,14,26,5,9,5,6,4,6,10,7,2,0,1,4,53.8,55.6,83.3
"Brock Massey, Dylan Kurt, Emmett Loew, Johnny Semany, Nolan Berendes",1,14.5,-2.0,4,2,3,0,0,0,0,1,1,2,1,1,0,0,0,66.7,,
"Brock Massey, Deng Makeer, Dylan Kurt, Jack Haynes, Kyle Kober",2,14.4,-2.0,4,1,1,0,0,2,2,0,2,2,1,0,0,1,1,100.0,,100.0
"Commits Foul, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",2,14.4,-2.0,2,1,1,0,0,0,0,1,1,2,0,0,0,1,0,100.0,,
"Damyen Jackson, Emmett Loew, Gavin Sarvis, Jack Haynes, Nolan Berendes",4,14.2,-11.0,11,3,8,2,4,3,4,2,5,7,2,2,0,3,0,37.5,50.0,75.0
"Deng Makeer, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",4,13.5,6.0,19,6,8,2,3,5,7,3,4,7,3,1,1,4,2,75.0,66.7,71.4
"Brock Massey, Damyen Jackson, Jack Haynes, Johnny Semany, Nolan Berendes",1,13.3,-4.0,18,6,11,3,5,3,5,2,4,6,3,3,0,0,2,54.5,60.0,60.0
"Dylan Kurt, Emmett Loew, Kyle Kober, Lukas Balling, Patrick Coen",1,13.1,-4.0,13,5,7,1,1,2,3,2,4,6,3,0,0,1,0,71.4,100.0,66.7
"Brock Massey, Damyen Jackson, Deng Makeer, Jack Haynes, Kyle Kober",1,13.1,4.0,6,3,9,0,1,0,0,2,4,6,2,0,0,3,1,33.3,0.0,
"Damyen Jackson, Emmett Loew, Gavin Sarvis, Jack Haynes, Johnny Semany, Lukas Balling, Nolan Berendes",1,13.0,15.0,9,3,12,1,5,2,2,3,1,4,1,1,0,3,7,25.0,20.0,100.0
"Brock Massey, Damyen Jackson, Deng Makeer, Dylan Kurt, Nolan Berendes",2,13.0,-4.0,10,4,5,1,2,1,2,2,2,4,1,1,0,0,1,80.0,50.0,50.0
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,13.0,-3.0,11,4,5,2,2,1,2,1,2,3,4,1,0,1,3,80.0,100.0,50.0
"Damyen Jackson, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober",1,13.0,-1.0,3,1,4,0,2,1,3,1,2,3,0,1,0,0,2,25.0,0.0,33.3
"Connor Mosele, Damyen Jackson, Gavin Sarvis, Jack Haynes, Patrick Coen",1,12.9,2.0,8,3,10,1,4,1,2,3,3,6,2,2,1,2,1,30.0,25.0,50.0
"Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes, Patrick Quarnstrom",1,12.8,2.0,10,4,12,1,2,1,2,8,2,10,0,0,0,1,1,33.3,50.0,50.0
"Brock Massey, Jack Haynes, Johnny Semany, Nolan Berendes, Patrick Coen",1,12.8,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.0,0.0,
"Deng Makeer, Dylan Kurt, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,12.2,-4.0,7,2,4,2,2,1,2,2,0,2,2,0,0,0,1,50.0,100.0,50.0
"Brock Massey, Dylan Kurt, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,12.2,-4.0,9,4,7,1,3,0,0,1,3,4,1,1,0,0,0,57.1,33.3,
"Brock Massey, Damyen Jackson, Deng Makeer, Jack Haynes, Johnny Semany",2,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Gavin Sarvis, Jack Haynes",3,11.7,6.0,11,5,12,1,4,0,0,5,3,8,1,5,1,2,1,41.7,25.0,
"Deng Makeer, Dylan Kurt, Gavin Sarvis, Johnny Semany, Patrick Quarnstrom",1,11.6,-2.0,5,2,2,1,1,0,0,0,1,1,2,0,0,0,0,100.0,100.0,
"Athan Berchos, Deng Makeer, Johnny Semany, Kyle Kober, Nolan Berendes",1,11.4,-2.0,6,3,4,0,0,0,1,1,1,2,2,0,0,0,0,75.0,,0.0
