#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
31,Michael McNabb,TEAM DEF,,+GREAT LEVERAGING UP & OVER BALL SCREEN | +GREAT TEAM DEF V MCNABB,,,Miss 2 Pts,0:26.3,0:04.3,0:30.5,1:29:55.91,1:30:26.44,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,14:08,Michael McNabb,,,,4 Michael McNabb > No Play Type > To Basket > Miss 2 Pts
32,Dennis Estepp,TEAM DEF,,+GOOD V. HANDOFFS | -HEAVIER IN GAP (V NON-SHOOTER) | + WALL UP,,,Miss 2 Pts,0:18.5,0:04.2,0:22.7,1:31:30.78,1:31:53.51,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,13:29,Dennis Estepp,,,,33 Dennis Estepp > Hand Off > From Dribble > Top > To Basket > Miss 2 Pts
33,Michael McNabb,TEAM DEF,,-TOO AGGRESSIVE & WRONG COVERAGE V. HANDOFF = ALLOWS BASELINE DRIVE,,,No Violation,0:09.0,0:08.6,0:17.6,1:32:51.98,1:33:09.58,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,,Michael McNabb,,,,4 Michael McNabb > Non Possession > No Violation
34,BUILDING A LEAD,,,,,,,0:04.0,N/A,N/A,0:00.00,0:04.00,,,,,,,,,,
35,Darius Chestnut,TEAM DEF,,+EFFORT PLAY,,,Make 2 Pts,0:12.3,N/A,N/A,1:33:21.78,1:33:34.05,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,13:01,Darius Chestnut,,,,10 Darius Chestnut > Transition > First Middle > To Basket > Make 2 Pts
36,Lamar Smith,TEAM DEF,,-SPRINT AHEAD OF THE BALL = FOUL,,,Non Shooting Foul,0:12.3,N/A,N/A,1:33:31.25,1:33:43.58,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,,Lamar Smith,,,,44 Lamar Smith > Non Possession > Non Shooting Foul
37,Joey Berezowitz,TEAM OFF,,TWINS PITCH = NEED TO BE LOWER FOR A BETTER ENTRY PASS |+ POSS,,,Make 3 Pts,0:22.1,0:14.2,0:36.3,1:38:21.98,1:38:58.32,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,11:16,Joey Berezowitz,,,,22 Joey Berezowitz > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
38,Jacob Naber,TEAM DEF,,-LOSE MAN ON BACK CUT | +WALL UPS & +BOX OUTS,,,Miss 2 Pts,0:26.8,0:03.1,0:29.9,1:39:01.58,1:39:31.52,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,2,10:41,Jacob Naber,,,,41 Jacob Naber > Cut > Flash > Miss 2 Pts
39,Brock Marino,TEAM OFF,,-BETTER STAGGERED SCREENS | +POSS,,,0 Pts,0:17.8,0:09.7,0:27.5,1:39:25.85,1:39:53.38,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,10:18,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts Foul > 0 Pts
40,Joey Berezowitz,TEAM OFF,,"+INSIDE OUT 3, +OREB EFFORT X2 | SHOT FAKE & GET TO TWO FEET",,,Miss 3 Pts,0:18.2,N/A,N/A,1:48:57.92,1:49:16.12,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,10:04,Joey Berezowitz,,,,21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
