#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
11,Jack Field,WWW@RIP - 11/06/2025 QTR: 1 CLK: 13:02,,"DEF. = GOOD TAG V. EMPTY, MISSED NON-SWITCH, STUNT ",,,Miss 3 Pts,0:29.5,N/A,0:29.5,45:16.18,45:49.85,Ripon Redhawks,WWW@RIP,11/7/2025,1,13:02,Jack Field,,,,42 Jack Field > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
12,Jack Field,WWW@RIP - 11/06/2025 QTR: 1 CLK: 11:40,,"DEF. = +SWITCH, +CORNER CLOSEOUT, -ALLOW THE BALL INSIDE",,,1 Pts,0:19.9,N/A,N/A,47:57.65,48:17.53,Ripon Redhawks,WWW@RIP,11/7/2025,1,11:40,Jack Field,,,,42 Jack Field > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts Foul > 1 Pts
13,Michael Asman,WWW@RIP - 11/06/2025 QTR: 1 CLK: 11:07,,DEF. = MISSED SWITCH LEADS TO BAD CLOSEOUT,,,Turnover,0:14.3,N/A,N/A,49:01.25,49:15.58,Ripon Redhawks,WWW@RIP,11/7/2025,1,11:07,Michael Asman,,,,4 Jarton Davis > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 35 Michael Asman > P&R Roll Man > Pick and Pops > Drives Left > Turnover
14,Jarton Davis,WWW@RIP - 11/06/2025 QTR: 1 CLK: 10:11,,"DEF. = +THROUGH V. HANDOFF, +BOXOUT, -STAY ENGAGED",,,Miss 2 Pts,0:23.5,N/A,N/A,51:10.38,51:33.85,Ripon Redhawks,WWW@RIP,11/7/2025,1,10:11,Jarton Davis,,,,4 Jarton Davis > P&R Ball Handler > High P&R > Takes Early Jump Shot > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
15,Sam Leoni,WWW@RIP - 11/06/2025 QTR: 1 CLK: 06:33,,"DEF. = GOOD TAG, -POOR TALK ON X-OUT",,,Miss 3 Pts,0:15.5,N/A,N/A,59:47.98,1:00:03.45,Ripon Redhawks,WWW@RIP,11/7/2025,1,6:33,Sam Leoni,,,,13 CJ Brown > P&R Ball Handler > Left P&R > Side > Defense Commits > Ball Delivered > 11 Sam Leoni > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
16,Jack Field,WWW@RIP - 11/06/2025 QTR: 1 CLK: 05:44,,DEF. = BAD MISSED SWITCH,,,Miss 2 Pts,0:11.5,0:05.8,0:17.3,1:02:03.78,1:02:21.05,Ripon Redhawks,WWW@RIP,11/7/2025,1,5:44,Jack Field,,,,3 Seth Bunders > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 42 Jack Field > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts
17,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 1 CLK: 02:49,,"DEF. = SHOULD BE A THROUGH OR A SWITCH, LOSE SIGHT OF MAN ON BACKSIDE",,,Miss 2 Pts,0:13.2,0:06.8,0:20.0,1:04:55.85,1:05:15.85,Ripon Redhawks,WWW@RIP,11/7/2025,1,2:49,Seth Bunders,,,,3 Seth Bunders > Hand Off > From Stationary > Top > To Basket > Miss 2 Pts
18,Jarton Davis,WWW@RIP - 11/06/2025 QTR: 1 CLK: 02:06,,"DEF. = DOUBLE BS = 1 & 4 SWITCH IT, GOOD OVER V. FLARE",,,Turnover,0:16.7,N/A,N/A,1:06:35.45,1:06:52.13,Ripon Redhawks,WWW@RIP,11/7/2025,1,2:06,Jarton Davis,,,,4 Jarton Davis > No Play Type > Turnover
19,Michael Asman,WWW@RIP - 11/06/2025 QTR: 1 CLK: 01:51,,DEF. = MISSED SWITCH,,,Miss 3 Pts,0:16.7,0:04.8,0:21.5,1:07:49.33,1:08:10.85,Ripon Redhawks,WWW@RIP,11/7/2025,1,1:51,Michael Asman,,,,3 Seth Bunders > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 35 Michael Asman > P&R Roll Man > Slips the Pick > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
20,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 2 CLK: 19:13,,"DEF. ANTICIPATE RHD, NO HELPSIDE IN THE PAINT",,,Foul,0:13.1,0:08.0,0:21.1,1:28:26.53,1:28:47.65,Ripon Redhawks,WWW@RIP,11/7/2025,2,19:13,Kolby Williams,,,,12 Kolby Williams > ISO > Right > Drives Right > To Basket > Foul
21,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 2 CLK: 18:13,,"MISSED FOUL, ALLOW DRIVE, LEAVE OUR FEET",,,Miss 2 Pts,0:14.1,N/A,N/A,1:30:35.45,1:30:49.58,Ripon Redhawks,WWW@RIP,11/7/2025,2,18:13,Seth Bunders,,,,3 Seth Bunders > Transition > Ballhandler > To Basket > Miss 2 Pts
22,Michael Asman,WWW@RIP - 11/06/2025 QTR: 2 CLK: 17:02,,MISSED SWITCH,,,Foul,0:17.5,N/A,N/A,1:32:57.53,1:33:15.05,Ripon Redhawks,WWW@RIP,11/7/2025,2,17:02,Michael Asman,,,,3 Seth Bunders > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 35 Michael Asman > P&R Roll Man > Rolls to Basket > Foul
23,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 2 CLK: 16:18,,"GOOD TAG V POP, HAVE TO GO HELP ON THIS",,,Make 2 Pts,0:18.9,N/A,N/A,1:34:31.25,1:34:50.13,Ripon Redhawks,WWW@RIP,11/7/2025,2,16:18,Kolby Williams,,,,12 Kolby Williams > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts
24,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 2,,"4 DEFENDER HAS TO BE UP & TALKING, GOOD SWITCH, NO GAP V 12 (RHD)",,,No Violation,0:32.6,N/A,N/A,1:37:20.58,1:37:53.13,Ripon Redhawks,WWW@RIP,11/7/2025,2,,Kolby Williams,,,,12 Kolby Williams > Non Possession > No Violation
25,Jack Field,WWW@RIP - 11/06/2025 QTR: 2 CLK: 14:31,,"FORCED TO SWITCH, PEEL SWITCH TO GET BACK, GOOD TAG, LOSE OUR MAN",,,Miss 2 Pts,0:25.9,N/A,N/A,1:39:07.65,1:39:33.53,Ripon Redhawks,WWW@RIP,11/7/2025,2,14:31,Jack Field,,,,3 Seth Bunders > ISO > Top > Drives Right > Defense Commits > Ball Delivered > 42 Jack Field > Cut > Flash > Miss 2 Pts
26,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 2 CLK: 12:23,,DEF. GOOD POSSESSION,,,Miss 2 Pts,0:27.3,0:05.6,0:32.9,1:42:24.73,1:42:57.65,Ripon Redhawks,WWW@RIP,11/7/2025,2,12:23,Seth Bunders,,,,3 Seth Bunders > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
27,CJ Brown,WWW@RIP - 11/06/2025 QTR: 2,,BAD FOUL,,,Non Shooting Foul,0:07.7,N/A,0:07.7,1:46:24.73,1:46:34.73,Ripon Redhawks,WWW@RIP,11/7/2025,2,,CJ Brown,,,,13 CJ Brown > Non Possession > Non Shooting Foul
28,Sam Leoni,WWW@RIP - 11/06/2025 QTR: 2,,MISSED SWITCH,,,No Violation,0:19.5,N/A,N/A,1:49:10.45,1:49:29.98,Ripon Redhawks,WWW@RIP,11/7/2025,2,,Sam Leoni,,,,11 Sam Leoni > Non Possession > No Violation
29,Sam Leoni,WWW@RIP - 11/06/2025 QTR: 2 CLK: 08:52,,BAD FOUL,,,Foul,0:11.1,N/A,0:11.1,1:51:17.45,1:51:30.93,Ripon Redhawks,WWW@RIP,11/7/2025,2,8:52,Sam Leoni,,,,11 Sam Leoni > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Foul
30,Michael Asman,WWW@RIP - 11/06/2025 QTR: 2 CLK: 04:55,,"GOOD SWITCH & THROUGH, DON'T REACH/KEEP IN FRONT, DON'T LEAVE BETTER SHOOTER",,,Make 3 Pts,0:33.9,N/A,N/A,1:58:57.58,1:59:31.45,Ripon Redhawks,WWW@RIP,11/7/2025,2,4:55,Michael Asman,,,,35 Michael Asman > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
31,Jack Field,WWW@RIP - 11/06/2025 QTR: 2 CLK: 03:40,,"GOOD STUNT & RECOVER TO TAKE AWAY CORNER 3, BOX OUT SHOOTER",,,Miss 2 Pts,0:14.9,0:12.7,0:27.6,2:04:58.85,2:05:26.45,Ripon Redhawks,WWW@RIP,11/7/2025,2,3:40,Jack Field,,,,11 Sam Leoni > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 42 Jack Field > P&R Roll Man > Slips the Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
32,OFFENSIVE CLIPS,,,,,,,0:04.0,N/A,N/A,0:00.00,0:04.00,,,,,,,,,,
33,Collin Madson,WWW@RIP - 11/06/2025 QTR: 1 CLK: 00:02,,END OF HALF EXECUTION,,,Miss 3 Pts,0:22.2,N/A,N/A,1:11:35.05,1:11:57.25,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,0:02,Collin Madson,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
34,Isaac Verges,WWW@RIP - 11/06/2025 QTR: 1 CLK: 17:51,,OFF. FILL BEHIND = CORNER!!!,,,Miss 2 Pts,0:09.1,0:03.2,0:12.3,38:42.98,38:55.25,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,17:51,Isaac Verges,,,,0 Isaac Verges > Spot-Up > Drives Right > To Basket > Miss 2 Pts
35,Brock Marino,WWW@RIP - 11/06/2025 QTR: 1 CLK: 15:52,,PANTHER EXECUTION. BIG = WALK YOUR MAN UP,,,Make 2 Pts,0:17.4,N/A,N/A,41:03.45,41:20.85,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,15:52,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts
