PLAYER,MIN,projected_PTS,projected_REB,projected_AST,FG%,3P%,FT%,projection_basis
JR Lukenbill,13.0,2.4,1.7,0.6,45.9%,33.3%,54.5%,"Own season avg: 2.9 PTS, 1.7 REB, 0.6 AST/gm over 13 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Austin Ambrose,9.0,2.3,1.8,0.1,45%,20%,33.3%,"Own season avg: 2.8 PTS, 1.8 REB, 0.1 AST/gm over 9 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Rashad Rogers,9.0,1.9,2.1,0.5,48.5%,28.6%,69.2%,"Own season avg: 2.3 PTS, 2.1 REB, 0.5 AST/gm over 9 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Agape Keyes Jr.,4.0,1.2,0.2,0.2,25%,42.9%,-,"Own season avg: 1.5 PTS, 0.2 REB, 0.2 AST/gm over 4 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Matthew McKay,2.0,1.1,0.7,0.0,100%,-,0%,"Own season avg: 1.3 PTS, 0.7 REB, 0.0 AST/gm over 2 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Maurquis Turner,3.0,1.1,0.3,0.0,66.7%,-,0%,"Own season avg: 1.3 PTS, 0.3 REB, 0.0 AST/gm over 3 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Isaiah Robinson,8.0,0.9,0.5,0.6,33.3%,23.1%,50%,"Own season avg: 1.1 PTS, 0.5 REB, 0.6 AST/gm over 8 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Tristian Lynch,4.0,0.8,0.5,0.0,33.3%,0%,-,"Own season avg: 1.0 PTS, 0.5 REB, 0.0 AST/gm over 4 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Trent Grunewald,4.0,0.2,1.3,0.3,14.3%,0%,-,"Own season avg: 0.3 PTS, 1.3 REB, 0.3 AST/gm over 4 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Zay Howard,1.0,0.0,0.0,0.3,0%,0%,-,"Own season avg: 0.0 PTS, 0.0 REB, 0.3 AST/gm over 1 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Mikey Wildes,2.0,0.0,0.2,0.2,0%,-,-,"Own season avg: 0.0 PTS, 0.2 REB, 0.2 AST/gm over 2 min | Scaled x0.83 for this matchup's projected pace (UWW projected team total 75 pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season 72.5)"
Mauryon Turner,,,,,-,-,-,No season stats recorded for this player yet -- insufficient data to project.
Spencer Cullum,,,,,-,-,-,No season stats recorded for this player yet -- insufficient data to project.
